id,member,skin,generation,type,performance,technique,sense,passive_requirement,passive_kind,passive_percent,passive_self_only,passive_text,outfit_requirement,outfit_performance,outfit_technique,outfit_sense,outfit_all_stats,outfit_support,outfit_text,active_requirement,active_magnitude,active_duration,active_interval,active_chance,special_magnitude,special_duration,special_sar,special_sar_percent,special_text
1,Tokino Sora,Rainbow's Devotion,Gen 0,Cute,10909.0,7221.0,7844.0,Gen 0,all,33.0,TRUE,2 Gen 0: All Stats +33% to Self,Gen 0,0.0,0.0,0.0,50.0,0.0,2 Gen 0 for All Stats +50% to all,None,100.0,10,24,M,160.0,10.0,FALSE,0,None / 1.6 / 10
2,Robocosan,High-Tech Victory V,Gen 0,Happy,11145.0,7828.0,6947.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,130.0,0.0,0.0,0.0,0.0,2 Happy for Perfomance +130% to all,None,90.0,8,18,H,145.0,10.0,TRUE,55,1K LIFE for +55% SAR / 1.45 / 10
3,AZKi,A Flower in Full Bloom,Gen 0,Pure,6803.0,7682.0,11380.0,Gen 0,sense,43.0,FALSE,2 Gen 0: Sense +43%,,0.0,0.0,120.0,0.0,0.0,Sense +120%,600 LIFE for Score +120%,120.0,7,20,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
4,Sakura Miko,Sakura Bloom,Gen 0,Happy,7682.0,6803.0,11380.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,,0.0,0.0,120.0,0.0,0.0,Sense +120%,40 Combo for Score +110%,110.0,6,15,M,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
5,Hoshimachi Suisei,Comet Heart Stealer,Gen 0,Pure,6803.0,11380.0,7682.0,Pure,tech,41.0,FALSE,2 Pure: Technique +41%,,0.0,120.0,0.0,0.0,0.0,Technique +120%,600 LIFE for Score +120%,120.0,10,29,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
6,Aki Rosenthal,Ethereal Half-Elf,Gen 1,Cute,6803.0,7682.0,11380.0,Gen 1,sense,43.0,FALSE,2 Gen 1: Sense +43%,,0.0,0.0,120.0,0.0,0.0,Sense +120%,600 LIFE for Score +115%,115.0,8,21,M,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
7,Akai Haato,Snack-Time Rebel,Gen 1,Pure,7682.0,11380.0,6803.0,Pure,support,11.0,FALSE,2 Pure: Support +11%,,0.0,120.0,0.0,0.0,0.0,Technique +120%,40 Combo for Score +120%,120.0,7,19,M,135.0,12.0,FALSE,0,None / 1.35 / 12
8,Shirakami Fubuki,Kitsune's Rite,Gen 1 / GAMERS,Pure,10909.0,7221.0,7844.0,Gen 1,perf,45.0,FALSE,2 Gen 1: Performance +45% to 2 Gen 1,Gen 1,0.0,0.0,0.0,50.0,0.0,2 Gen 1 for All Stats +50% to all,None,110.00000000000001,11,30,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
9,Natsuiro Matsuri,Vivid Cheer Spirit,Gen 1,Happy,11380.0,7682.0,6803.0,Gen 1,perf,43.0,FALSE,2 Gen 1: Performance +43%,,120.0,0.0,0.0,0.0,0.0,Perfomance +120%,600 LIFE for Score +120%,120.0,8,23,H,145.0,11.0,FALSE,0,None / 1.45 / 11
10,Nakiri Ayame,Spirit Realm Lantern,Gen 2,Pure,10433.0,7668.0,7981.0,Pure,perf,41.0,FALSE,2 Pure: Performance +41%,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Pure for Score +120%,120.0,10,29,H,160.0,10.0,FALSE,0,None / 1.6 / 10
